Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Large Language Models for Financial Aid in Financial Time-series Forecasting,M. K. Islam; A. Karmacharya; T. Sue; J. Fox,"Computer Science Department, University of Virginia; Computer Science Department, University of Virginia; Computer Science Department, University of Virginia; Computer Science Department, University of Virginia",2024 IEEE International Conference on Big Data (BigData),16 Jan 2025,2024,,,4892,4895,"Considering the difficulty of financial time series forecasting in financial aid, much of the current research focuses on leveraging big data analytics in financial services. One modern approach is to utilize ""predictive analysis"", analogous to forecasting financial trends. However, many of these time series data in Financial Aid (FA) pose unique challenges due to limited historical datasets and high dimensional financial information, which hinder the development of effective predictive models that balance accuracy with efficient runtime and memory usage. Pre-trained foundation models are employed to address these challenging tasks. We use state-of-the-art time series models including pre-trained LLMs (GPT-2 as backbone), transformers, and linear models to demonstrate their ability to outperform traditional approaches, even with minimal (""few-shot"") or no fine-tuning (""zero-shot""). Our benchmark study, which includes financial aid with seven other time series tasks, shows the potential of using LLMs for scarce financial datasets.",2573-2978,979-8-3503-6248-0,10.1109/BigData62323.2024.10824953,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10824953,Financial Aid;Time Series Forecast;Deep Learning;Foundation Models;Large Language Models,Runtime;Time series analysis;Memory management;Predictive models;Big Data;Transformers;Market research;Data models;Forecasting;Predictive analytics,,1.0,,24.0,IEEE,16 Jan 2025,,,IEEE,IEEE Conferences
Estimating Value at Risk for Central Counterparties: A Generative AI Approach,S. Udeshika Munasinghe; R. Rafeh; S. Rauchas,"Department of Computing Goldsmith, University of London, London, United Kingdom; School of Information Technology, Crown Instittue of Higher Education, Canberra, Australia; Department of Computing Goldsmith, University of London, London, United Kingdom",2024 International Conference on Data Science and Its Applications (ICoDSA),5 Sep 2024,2024,,,305,310,"Central counterparties (CCPs) play an important role in the stability of financial markets by helping to mitigate systemic risk. It is important that CCPs have robust risk management tools in order to protect themselves from failing due to a defaulting member. In this paper a new model using a Bidirectional Generative Adversarial Network (BiGAN), a type of generative AI model, is proposed to estimate Value at Risk (VaR), a common metric used to compute initial margin for CCPs. Fifteen years of closing prices from the S&P 500 index was used as the dataset. The model was backtested for a period of four years. The results were evaluated using the number of breaches, Kupiec test, excess margin as well as two procyclicality measures: the standard deviation and peak to trough ratio of margin. The results were compared against three widely used models: filtered historical simulation method, historical VaR and parametric VaR. The results from this study showed that VaR computed using the BiGAN model produced 19 breaches on average for the four-year test period. While the experimental results show the proposed model is comparable with other models in terms of accuracy, its standard deviation for margin calls is lower which results in more short-term stability and a lower excess margin compared to the traditional models. The results of this research encourage further research on using BiGAN to estimate VAR.",,979-8-3503-6535-1,10.1109/ICoDSA62899.2024.10652178,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10652178,Value-at-Risk;Bidirectional Generative Adversarial Networks;Financial Risk Management;Central Counterparty;Generative AI,Reactive power;Generative AI;Computational modeling;Stability criteria;Estimation;Predictive models;Generative adversarial networks,,1.0,,16.0,IEEE,5 Sep 2024,,,IEEE,IEEE Conferences
A Comparative Study of Sequential Deep Learning Models in Financial Time Series Forecasting,J. Fang; Z. Xiao; Y. Wu; J. Zhang; Z. Xu; Z. Mai,Independent Researcher; University of North Texas; Meta; Taylor University; Hewlett Packard Enterprise; I-66 Express Mobility Partners,2024 11th International Conference on Soft Computing & Machine Intelligence (ISCMI),28 Jan 2025,2024,,,22,26,"Time series analysis of daily stock prices is challenging due to the inherent complexity, nonlinearity, and nonstationarity of financial data. In this paper, we compare three sequential deep learning models—LSTM, Transformer, and Large Language Models (LLMs)—for stock price prediction. By transforming the regression problem of predicting daily log returns into a classification task, we evaluate the models’ classification accuracies, with the Transformer achieving the highest accuracy of 22%, followed by LSTM (15.6%) and LLM (15.3%). Regression metrics showed LSTM initially performing better, with a lower RMSE (180.92) than LLM (1739.61). However, outlier predictions in the LLM, caused by incomplete number outputs, inflated its error. After removing these outliers, LLM’s RMSE improved significantly to 33.85, surpassing LSTM. These results demonstrate the potential of Transformer and LLM models for financial time series prediction. Future work will explore incorporating self-reflection mechanisms in LLM predictions and extending the comparison to multivariate financial time series incorporating textual data and other features.",2640-0146,979-8-3315-1812-7,10.1109/ISCMI63661.2024.10851487,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10851487,Time Series Forecasting;Survey;Large Language Model;Deep Learning;Finance,Measurement;Deep learning;Accuracy;Large language models;Time series analysis;Predictive models;Transformers;Forecasting;Long short term memory;Machine intelligence,,1.0,,32.0,IEEE,28 Jan 2025,,,IEEE,IEEE Conferences
Stock Market Forecasting with Pretrained Deep Learning Models,S. T. Do; A. Chu; Y. Zhao; Y. Li,"Department of Computer and Information Sciences, Fordham University, Bronx, NY, USA; Department of Computer Science, Stanford University, Stanford, CA, USA; Department of Computer and Information Sciences, Fordham University, Bronx, NY, USA; Department of Computer and Information Sciences, Fordham University, Bronx, NY, USA",2025 IEEE 11th International Conference on Big Data Computing Service and Machine Learning Applications (BigDataService),1 Sep 2025,2025,,,142,146,"To perform stock market-related forecasting, we developed a synchronized framework that employs pretrained deep learning models to automatically analyze real-time public information from social media and forecast market trends. In the proposed framework, market related tweets are aligned with stock market index data, textual entailment method for zero-shot classification is adopted to perform sentiment analysis of tweets, and market forecast is generated by applying pretrained time series foundation model. The models were trained and tested with approximately 188,000 tweets and three major indices from the New York Stock Exchange for the year 2021. The experiments demonstrated consistently strong performance. This framework can be extended to analyze text documents from various sources for forecasting.",2690-828X,979-8-3315-8532-7,10.1109/BigDataService65758.2025.00026,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11129507,Sentimental Analysis;Social Media;Stock Market Change;Twitter;Large Language Models;Zero-shot Classification;Textual Entailment;Random Forest Classifier;Time-series Forecasting,Deep learning;Analytical models;Sentiment analysis;Social networking (online);Time series analysis;Predictive models;Real-time systems;Synchronization;Stock markets;Forecasting,,,,26.0,IEEE,1 Sep 2025,,,IEEE,IEEE Conferences
Enhanced Stock Market Trend Prediction on the Indonesia Stock Exchange Using Improved Bacterial Foraging Optimization and Elitist Whale Optimization Algorithms,D. Kumar; P. Pramod Pawar; M. Kumar Meesala; P. Kumar Pareek; S. Reddy Addula; K. S. Shwetha,"Department of Information Technology, University of the Cumberlands, Williamsburg, USA; Department of Information Technology, University of the Cumberlands, Williamsburg, USA; Department of Information Technology, University of the Cumberlands, Williamsburg, USA; Department of AIML, Nitte Meenakshi Institute of Technology, Bengaluru, India; Department of Information Technology, University of the Cumberlands, Williamsburg, USA; Department of Computer Science and Engineering, Dayananda Sagar College of Engineering, Bangalore, India",2024 International Conference on Integrated Intelligence and Communication Systems (ICIICS),5 Feb 2025,2024,,,1,8,"It was difficult to find low-risk firms in 2022 due to the large number of 825 listed on the Indonesia Stock Exchange (IDX). Essential concerns in financial works include stock price forecasting and price movement forecast. The stock market research has shown encouraging outcomes in the past. We still don't have a consensus on the finest stock value forecasting classical due to the fact that each study report has different architecture and uses different stock issuers. This paper presents a new method for optimizing bacterial foraging that uses optimal deep learning to forecast stock market trends. For the prediction process, the given model employs a multiplicative long short term memory (MLSTM) perfect, with IBFO serving as the model's fine-tuner. The research paper presents a modified whale optimization technique for feature selection. This research proposes an elitist whale optimization algorithm with the nonlinear parameter (EWOANP) to fix the issue where the whale optimization procedure does not strike a balance among exploration and exploitation and instead falls into the local optimum. To improve the odds of evading the local optimum, the shrinking encircling mechanism employs an elitist tactic based on random Cauchy mutation. Using the random Cauchy mutation as a starting point, the method cleverly selects the population with the best mutation solutions to move on to the next iteration. To strike a compromise among the two, the logarithmic spiral mechanism makes use of a nonlinear parameter. There are 2,588,451 entries in the dataset representing 727 IDX firms' open, highest, lowest, closed, and volume transactions. Various stock time records are used to examine the trial findings using current methodologies in terms of distinct metrics.",,979-8-3315-0496-0,10.1109/ICIICS63763.2024.10859808,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10859808,indonesia stock exchange;multiplicative long short term memory;elitist whale optimization nonlinear parameter;improved bacterial foraging optimization;stock market trend prediction,Microorganisms;Spirals;Predictive models;Feature extraction;Market research;Prediction algorithms;Whale optimization algorithms;Stock markets;Forecasting;Tuning,,1.0,,26.0,IEEE,5 Feb 2025,,,IEEE,IEEE Conferences
Leveraging Large Language Models for Predicting Stock Option Valuation and Financial Risk Mitigation,L. D. Dsouza; J. A. Nasir; M. M. Kamal; L. Connolly,"School of Computer Science, University of Galway, Galway, Ireland; School of Computer Science, University of Galway, Galway, Ireland; NLP Research Centre, Knowledge Platform, Islamabad, Pakistan; College of Technological Innovations, Zayed University, Abu Dhabi, United Arab Emirates",2024 IEEE International Conference on Data Mining Workshops (ICDMW),18 Mar 2025,2024,,,97,105,"The prediction of short-term stock options with near-future expiration dates is a challenging task due to high volatility, limited information, market noise and the risk of time decay. This work focuses on the new approach to the stock options valuation by leveraging Large Language Models (LLMs) through the integration of quantitative (i.e. financial features-lagged prices, moving averages, and volatility indicators) and qualitative data (i.e. news data, including article titles, full textual content, and publication dates). More specifically, our approach fuses sentiment analysis from LLMs applied to financial news from two reputable outlets (i.e. Economic Times and Yahoo Finance India) with quantitative data on stock options, which includes stock option closing price. By conducting experiments on companies from the NIFTY 50 index using ChatGPT-3.5, ChatGPT-4, and LLaMA 3.1, we show that our method achieves superior prediction accuracy compared to other similar approaches. The paper develops a new framework to improve the valuation of short-term stock options using advanced natural language processing behaviors afforded by LLMs to achieve a more holistic capture of market dynamics and sentiment in option pricing.",2375-9259,979-8-3315-3063-1,10.1109/ICDMW65004.2024.00019,Science Foundation Ireland; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10918002,Financial Markets;Short-term Options;Option Valuation;Large Language Models;ChatGPT-3.5;ChatGPT-4;LLaMA 3.1;Bullish Prediction;Bearish Prediction;NIFTY50;Sentiment Analysis;Risk Management,Sentiment analysis;Accuracy;Large language models;Biological system modeling;Soft sensors;Companies;Indexes;Stock markets;Forecasting;Cost accounting,,1.0,,44.0,IEEE,18 Mar 2025,,,IEEE,IEEE Conferences
A Wavelet Based Method for Un-Stationary Complex System,Y. Wang; R. Wang; X. Miao; Q. Zhao; H. Zou,"Beijing Institute of Computer Technology and Application, Beijing, Country; Beijing Institute of Computer Technology and Application, Beijing, Country; Beijing Institute of Computer Technology and Application, Beijing, Country; Beijing Institute of Computer Technology and Application, Beijing, Country; Beijing Institute of Computer Technology and Application, Beijing, Country",2023 9th International Conference on Big Data and Information Analytics (BigDIA),15 Feb 2024,2023,,,311,314,"It is known that stock system is chaotic, nonlinear and un-stationary system. Stock market analysis system including deep learning method and generative models usually utilize historical datasets to get the stock market features to predict the future trend. The nonlinearity of the stock market system have determined that although the features can be acquired by deep learning and generative models, it consume considerable resources including labelled cost and computing. In order to analyze such system, researchers have proposed a novel wavelet based nonlinear model, along with the interpretable feature from nonlinear and unstationary series data. Wavelet based OLS method is able to get the features of nonlinear system in a relative low cost with the acceptable result accuracy decline. What’s more, it will give an interpretability analysis form the model analysis. To sum up, the Comprehensive performance shows that the predictive power of nonlinear wavelet models outperforms than other baseline methods.",2771-6902,979-8-3503-3007-6,10.1109/BigDIA60676.2023.10429428,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10429428,Wavelet;Time series;Prediction;Nonlinear System;Deep Learning,Deep learning;Analytical models;Costs;Computational modeling;Predictive models;Wavelet analysis;Stock markets,,,,10.0,IEEE,15 Feb 2024,,,IEEE,IEEE Conferences
Comparative Analysis of Stock Price Prediction Using LSTM and GPT-2 Models,J. Hsieh; V. Ko; P. K; S. Zaidi,NA; NA; NA; NA,2025 IEEE Integrated STEM Education Conference (ISEC),8 Sep 2025,2025,,,1,6,"Stock price prediction is a challenging task in both financial and academic sectors, as stock prices often behave unpredictably and nonlinearly within complex systems. This research presents a comparative study of two models: LSTM and GPT-2 which are applied to stock price prediction using Apple Inc.’s open-source data from Yahoo Finance, covering the period from 2000 to 2024. The LSTM model produces more accurate results and is better at handling long-term dependencies compared to GPT-2. The GPT-2 model from Hugging Face struggles with temporal modeling, generating inconsistent and unpredictable outputs due to its lack of design for time series data. LSTM excels at finding patterns in the complex financial data, making it a more suitable choice for this project. The LSTM model benefits from the data preparation steps that include feature selection, normalization, handling missing values and all factors that can influence its prediction. GPT-2 shows a weakness in capturing the nonlinear time series stock prices. Its reliance on pre-trained language modeling makes it not suitable for modeling stock data without the specialized adaptations. GPT-2’s outputs often differ from the real time stock data because of its lack of temporal awareness which results in unpredictable predictions. This study shows the strengths and limitations of the two models and emphasizes LSTM’s capability in finding and producing consistent stock price predictions. While GPT-2 performs well in broader contexts, this study demonstrates that LSTM is more effective for stock price prediction. This research shows how machine learning systems can improve and help with future directions of stock price predictions. The work presented in this paper by no means provides any guidance for stock purchasing but is an effort to integrate AI and Machine learning techniques to understand the process of stock price prediction that can be improved by incorporating sophisticated techniques.",2473-7623,979-8-3315-1343-6,10.1109/ISEC64801.2025.11147253,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11147253,Machine Learning;Stock Market;LLM;LSTM,Adaptation models;Analytical models;Technological innovation;Accuracy;Time series analysis;Machine learning;Predictive models;Data models;Stock markets;Long short term memory,,,,15.0,IEEE,8 Sep 2025,,,IEEE,IEEE Conferences
A Novel Wavelet Based Generative Model for Time Series Prediction,C. Dai; X. Yuan; Z. Tian; X. Hu; Z. Luan; Y. Wang,"National Key Laboratory of Information Systems Engineering, National University of Defense Technology, Changsha, China; National Key Laboratory of Information Systems Engineering, National University of Defense Technology, Changsha, China; Beijing Institute of Computer, Technology and Application, Beijing, China; Beijing Institute of Computer, Technology and Application, Beijing, China; Beijing Institute of Computer, Technology and Application, Beijing, China; Beijing Institute of Computer, Technology and Application, Beijing, China",2024 10th International Conference on Big Data and Information Analytics (BigDIA),27 Dec 2024,2024,,,178,182,"Generative models have become an exciting area of research in recent years. Generative Adversarial Networks (GANs) and Denoising Diffusion Probabilistic Models (DDPMs) have been utilized in various data augmentation applications. However, generative models can learn high-dimensional features of data through adversarial learning, making them suitable for nonlinear and nonstationary time series analysis, such as stock market prediction, high-frequency trading, and ocean current forecasting. In this paper, the researchers focus on using a wavelet-based GAN to predict stock market prices by generating synthetic stock market price trends. Historical stock price data from 2014 to 2024 is used for our experiments, and the results show that the wavelet-based GAN outperforms deep learning baseline models..",2771-6902,979-8-3503-5462-1,10.1109/BigDIA63733.2024.10808510,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10808510,Stock Market Prediction;Data Augmentation;Generative Adversarial Network;Wavelet Transform,Wavelet transforms;Analytical models;Oceans;Time series analysis;Noise reduction;Predictive models;Generative adversarial networks;Wavelet analysis;Data models;Stock markets,,,,16.0,IEEE,27 Dec 2024,,,IEEE,IEEE Conferences
A Hybrid Attention-BiGRU Model for Accurate Stock Market Prediction,A. Kanwal; S. Chandrasekaran; A. Akhunzada,"Dept. of Computing Technologies, Swinburne University of Technology, Melbourne, Australia; Dept. of Computing Technologies, Swinburne University of Technology, Melbourne, Australia; University of Doha for Science & Technology, Doha, Qatar",2025 IEEE 4th International Conference on Computing and Machine Intelligence (ICMI),8 Sep 2025,2025,,,1,5,"In today's fast-paced financial markets, investors are constantly seeking strategies to gain an edge and make informed decisions. While achieving 100 % accuracy in stock price predictions remains a challenge, advancements in artificial intelligence (AI) have made it possible to examine past data and uncover potential trends. This article explores the application of AI techniques, specifically the Bidirectional Gated Recurrent Unit (BiGRU) combined with an Attention Mechanism, for stock price prediction. These tools enable investors to better understand market behaviour and make well-informed investment decisions. In this study, datasets from CL=F, DAX, ${ }^{\wedge}$ GDAXI, and ${ }^{\wedge}$ HSI were utilized. The results indicated that the proposed model successfully achieved RMSE and MAE values ranging between 0.011 to 0.065 across all stock datasets.",,979-8-3315-0913-2,10.1109/ICMI65310.2025.11141054,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11141054,BiGRU;Stock price prediction;Attention Mechanism;Hybrid Model,Accuracy;Attention mechanisms;Computational modeling;Large language models;Gated recurrent units;Predictive models;Market research;Stock markets;Machine intelligence;Investment,,,,12.0,IEEE,8 Sep 2025,,,IEEE,IEEE Conferences
