ID,Decision,Date,Reviewer
10.1007/978-981-19-5845-8_61,n,2025-10-13T15:15:17.528217,Sondre
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427326,n,2025-10-13T15:25:06.299154,Sondre
10.18653/v1/2023.emnlp-industry.69,y,2025-10-13T15:26:24.661211,Sondre
10.1007/s43546-021-00106-0,y,2025-10-13T15:28:54.306451,Sondre
10.1007/978-3-030-58790-1_7,y,2025-10-13T15:40:01.047035,Sondre
10.1016/j.knosys.2022.108712,n,2025-10-13T15:49:58.878199,Sondre
10.1214/14-AOS1250,n,2025-10-13T15:52:15.219532,Sondre
10.1109/ICCA62237.2024.10927897,y,2025-10-13T15:59:46.319382,Sondre
2-s2.0-85195171155,y,2025-10-13T16:15:52.356951,Sondre
10.2478/mmcks-2024-0008,y,2025-10-13T16:20:14.873595,Sondre
10.1109/ICADEIS65852.2025.10933431,y,2025-10-13T17:22:01.370209,Sander
10.14569/IJACSA.2025.0160402,y,2025-10-13T17:29:19.674010,Sander
10.1109/ICDMW65004.2024.00021,y,2025-10-13T17:34:03.844083,Sander
10.24136/oc.3109,n,2025-10-13T17:35:03.527251,Sander
10.18653/v1/2024.emnlp-industry.77,y,2025-10-13T17:36:54.214854,Sander
10.1016/j.frl.2025.107472,y,2025-10-13T17:37:44.653285,Sander
10.1016/j.frl.2024.105227,y,2025-10-13T17:41:28.786307,Sander
10.1587/transinf.2016IIP0016,n,2025-10-13T17:48:34.932862,Sander
10.1109/DOCS63458.2024.10704454,y,2025-10-13T17:50:49.180294,Sander
10.1109/IKT65497.2024.10892779,y,2025-10-13T17:53:49.426626,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11176580,n,2025-10-13T17:55:24.885536,Sander
10.1109/CSICC65765.2025.10967454,n,2025-10-13T18:07:09.558150,Sander
10.1145/3629527.3651419,n,2025-10-13T18:10:00.081874,Sander
10.1109/CAIDA51941.2021.9425223,n,2025-10-13T18:15:24.060234,Sander
10.1007/978-3-031-84460-7_33,n,2025-10-13T18:15:57.340172,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11009071,y,2025-10-13T18:18:21.710740,Sander
10.1109/InCoWoCo64194.2024.10863422,n,2025-10-13T18:18:57.590979,Sander
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11181526,y,2025-10-13T18:31:17.232110,Sander
10.1016/j.knosys.2025.114449,y,2025-10-13T18:32:49.025664,Sander
WOS:001319989300001,n,2025-10-13T18:36:44.276545,Sander
10.1093/rof/rfaf015,n,2025-10-13T19:07:16.034589,Sondre
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10404041,n,2025-10-13T19:08:42.471602,Sondre
10.1109/ICCIMS61672.2024.10690672,n,2025-10-13T19:10:45.308801,Sondre
WOS:001540598500049,y,2025-10-13T19:11:02.222938,Sondre
10.1016/j.econlet.2025.112404,y,2025-10-13T19:13:06.339322,Sondre
10.1038/s41598-024-68959-7,n,2025-10-13T19:15:18.315782,Sondre
WOS:001551945700001,y,2025-10-13T19:18:36.741062,Sondre
10.3389/frai.2025.1608365,survey,2025-10-13T19:20:34.618860,Sondre
10.1007/978-981-96-7178-6_2,y,2025-10-13T19:23:25.400752,Sondre
10.1145/3652037.3652076,y,2025-10-13T19:23:41.891050,Sondre
10.1109/ISCMI63661.2024.10851549,y,2025-10-13T19:25:36.980366,Sondre
10.1145/3677052.3698688,y,2025-10-13T19:27:21.638868,Sondre
10.1109/MSEC.2024.3385549,n,2025-10-13T19:28:12.931968,Sondre
2-s2.0-85107149696,y,2025-10-13T19:30:00.449224,Sondre
10.1145/3430936,n,2025-10-13T19:31:38.183875,Sondre
10.1186/s40854-025-00789-6,y,2025-10-13T19:33:26.167336,Sondre
10.1109/3DV62453.2024.00058,n,2025-10-13T19:33:36.461971,Sondre
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10859808,n,2025-10-13T19:35:23.928163,Sondre
10.1007/s10614-024-10835-7,y,2025-10-13T19:36:14.529663,Sondre
10.1002/fut.22568,y,2025-10-13T19:37:12.076187,Sondre
10.1109/ICICYTA64807.2024.10913442,y,2025-10-13T19:37:27.083214,Sondre
